Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
amenities and location,Positive,"Nice stop with mall shopping steps away, and second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away]",39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
accessibility and availability,Negative,just three spots],39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
charging speed and efficiency,Positive,a decent charge],39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
compatibility and connectivity,Negative,chargers were all functional except for one],39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
user-interface and mobile app,Negative,App and machine was initially clumsy getting started],39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
reliability and maintenance,Positive,thing eventually stabilized],39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
customer service,Positive,I was able to call and report this in],39.108191,-77.538653,EVgo Charging Station,OPERATIONAL,"241 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"Nice stop with mall shopping steps away, and  second mall with a Home Depot just across the street. Several restaurants, too, just a short stroll away. Only drawback is there are just three spots - one for the Level 2 slow charge, and two spaces which share two Level 3 chargers with a Tesla port, a Chademo,  and an CCS on each side. Maybe it was a workable setup years ago when the station went in and there were few EVs, but with more EVs on the road now the station set-up should be expanded.Great location.  App and machine was initially clumsy getting started, but thing eventually stabilized and it was a decent charge.The chargers were all functional except for one. I was able to call and report this in.",4.333333333333333
accessibility and availability,Positive,Stations are always available],39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
reliability and maintenance,Positive,Never had an issue charging],39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
amenities and location,Positive,"Large parking spots, Located next to Outback Steakhouse]",39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
charging speed and efficiency,Positive,Currently getting 136kW],39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
user-interface and mobile app,Positive,The app always allows me to initiate the charge],39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
amenities and location,Positive,There's an Outback and a Panera close by],39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
amenities and location,Negative,"No convenience store for snacks, coffee, or to use the restroom]",39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
reliability and maintenance,Negative,3,39.109648,-77.5381882,Electrify America Charging Station Leesburg Premium Outlets,OPERATIONAL,"235 Fort Evans Rd NE, Leesburg, VA 20176, USA","point_of_interest, establishment",6,5,"My go to station. Stations are always available. Never had an issue charging. Large parking spots so my truck fits easily. Currently getting 136kW which is much more than I ever get at EVGo. Located next to Outback Steakhouse so perfect excuse for a steak lunch!Pretty good track record of working, sometimes the reader acts funky. The app always allows me to initiate the charge though. It would be really nice to add a picnic table or some shaded area.Note: Google maps shows it in not quite the right location, it's actually next to the TGI Fridays in the northwest corner of the parking lot.  For food, in addition to the TGI Fridays, there's an Outback and a Panera close by. On a nice day, you could walk about a quarter mile to the Planet Smoothie, Philly Cheese Steak, or Italian Villa restaurants that are located in the middle of the outlet stores.  As for the location, I give it four stars because there's no convenience store for snacks, coffee, or to use the restroom, etc.They make sure they take at least a month before sending a technician3/4 chargers were broken",3.2
compatibility and connectivity,Negative,Could not find the two alleged J1772 chargers],39.391464,-77.407866,Electric Vehicle Charging Station,OPERATIONAL,"7418 Grove Rd, Frederick, MD 21704, USA","point_of_interest, establishment",2,2,Could not find the two alleged J1772 chargers. Only found the Chedemao and ccs.,2.0
compatibility and connectivity,Positive,Found the Chedemao and ccs],39.391464,-77.407866,Electric Vehicle Charging Station,OPERATIONAL,"7418 Grove Rd, Frederick, MD 21704, USA","point_of_interest, establishment",2,2,Could not find the two alleged J1772 chargers. Only found the Chedemao and ccs.,2.0
amenities and location,Positive,"Neon 💚 green posts at the right side of WalMart parking lot, multiple food choices realitively close]",39.39557,-77.4094885,Electrify America Charging Station,OPERATIONAL,"7400 Guilford Dr, Frederick, MD 21704, USA","point_of_interest, establishment",32,5,"Can't miss the Neon 💚 green posts at the right side of WalMart parking lot! I actually went to Walmart and did some shopping but went over to see what it was! Really neat how it's all set up! Great job Electrify America Charging Station company!Worked on first attempt with app, max charging 114 kW so acceptable for a 150 kW unit, but i was the only one at station. Area well lighted, multiple food choices realitively close. I wonder if the recent announcement that Tesla/NACS chargers will be open for CCS vehicles has forced the CCS networks to improve their service.Not 150 kw charger not even 40 kw if you have 2 hours to kill go for it otherwise find yourself somewhere elseTried these chargers on 2 separate occasions and have yet to see more than 60 KW charge speed.  Tried multiple chargersClean and safe place to charge your car 🚗 and next to Walmart",3.8
compatibility and connectivity,Positive,Worked on first attempt with app],39.39557,-77.4094885,Electrify America Charging Station,OPERATIONAL,"7400 Guilford Dr, Frederick, MD 21704, USA","point_of_interest, establishment",32,5,"Can't miss the Neon 💚 green posts at the right side of WalMart parking lot! I actually went to Walmart and did some shopping but went over to see what it was! Really neat how it's all set up! Great job Electrify America Charging Station company!Worked on first attempt with app, max charging 114 kW so acceptable for a 150 kW unit, but i was the only one at station. Area well lighted, multiple food choices realitively close. I wonder if the recent announcement that Tesla/NACS chargers will be open for CCS vehicles has forced the CCS networks to improve their service.Not 150 kw charger not even 40 kw if you have 2 hours to kill go for it otherwise find yourself somewhere elseTried these chargers on 2 separate occasions and have yet to see more than 60 KW charge speed.  Tried multiple chargersClean and safe place to charge your car 🚗 and next to Walmart",3.8
charging speed and efficiency,Positive,max charging 114 kW],39.39557,-77.4094885,Electrify America Charging Station,OPERATIONAL,"7400 Guilford Dr, Frederick, MD 21704, USA","point_of_interest, establishment",32,5,"Can't miss the Neon 💚 green posts at the right side of WalMart parking lot! I actually went to Walmart and did some shopping but went over to see what it was! Really neat how it's all set up! Great job Electrify America Charging Station company!Worked on first attempt with app, max charging 114 kW so acceptable for a 150 kW unit, but i was the only one at station. Area well lighted, multiple food choices realitively close. I wonder if the recent announcement that Tesla/NACS chargers will be open for CCS vehicles has forced the CCS networks to improve their service.Not 150 kw charger not even 40 kw if you have 2 hours to kill go for it otherwise find yourself somewhere elseTried these chargers on 2 separate occasions and have yet to see more than 60 KW charge speed.  Tried multiple chargersClean and safe place to charge your car 🚗 and next to Walmart",3.8
price and cost,Positive,acceptable for a 150 kW unit],39.39557,-77.4094885,Electrify America Charging Station,OPERATIONAL,"7400 Guilford Dr, Frederick, MD 21704, USA","point_of_interest, establishment",32,5,"Can't miss the Neon 💚 green posts at the right side of WalMart parking lot! I actually went to Walmart and did some shopping but went over to see what it was! Really neat how it's all set up! Great job Electrify America Charging Station company!Worked on first attempt with app, max charging 114 kW so acceptable for a 150 kW unit, but i was the only one at station. Area well lighted, multiple food choices realitively close. I wonder if the recent announcement that Tesla/NACS chargers will be open for CCS vehicles has forced the CCS networks to improve their service.Not 150 kw charger not even 40 kw if you have 2 hours to kill go for it otherwise find yourself somewhere elseTried these chargers on 2 separate occasions and have yet to see more than 60 KW charge speed.  Tried multiple chargersClean and safe place to charge your car 🚗 and next to Walmart",3.8
accessibility and availability,Positive,Area well lighted],39.39557,-77.4094885,Electrify America Charging Station,OPERATIONAL,"7400 Guilford Dr, Frederick, MD 21704, USA","point_of_interest, establishment",32,5,"Can't miss the Neon 💚 green posts at the right side of WalMart parking lot! I actually went to Walmart and did some shopping but went over to see what it was! Really neat how it's all set up! Great job Electrify America Charging Station company!Worked on first attempt with app, max charging 114 kW so acceptable for a 150 kW unit, but i was the only one at station. Area well lighted, multiple food choices realitively close. I wonder if the recent announcement that Tesla/NACS chargers will be open for CCS vehicles has forced the CCS networks to improve their service.Not 150 kw charger not even 40 kw if you have 2 hours to kill go for it otherwise find yourself somewhere elseTried these chargers on 2 separate occasions and have yet to see more than 60 KW charge speed.  Tried multiple chargersClean and safe place to charge your car 🚗 and next to Walmart",3.8
