docid,lat,lng,lat,lng,level_2,name,business_status,address,types,user_ratings_total,#charging_stations,comments,avg_rating
554,36.547921,-82.56179,36.5471786,-82.5615961,15245,Electric Vehicle Charging Station,OPERATIONAL,"215 Shelby St, Kingsport, TN 37660, USA","point_of_interest, establishment",3,3,"It's so great that the city offers free charging!6 spots! Free! Thank you Kingsport!!easy to use, well maintained free charging stations on the ground level of the parking garage",5.0
561,45.475962,-122.825561,45.4759628,-122.8255539,3916,ChargePoint Charging Station,OPERATIONAL,"14470 SW Allen Blvd, Beaverton, OR 97005, USA","point_of_interest, establishment",3,3,"Great service, it's my place to refuel and re fresh.V8",5.0
562,38.889751,-77.08499,38.8889529,-77.0847761,401,Tesla Destination Charger,OPERATIONAL,"1320 N Courthouse Rd, Arlington, VA 22201, USA","point_of_interest, establishment",1,1,These are not in this garage.,1.0
580,27.499076,-82.569442,27.4990759,-82.5694424,7932,ChargePoint Charging Station,OPERATIONAL,"808 3rd Ave W, Bradenton, FL 34205, USA","point_of_interest, establishment",5,5,Just your average charger- a nice park to walk around while you charge but not much to eat/shop without a 10+ minute walk,5.0
590,27.493279,-82.573234,27.4932921,-82.5732266,7931,ChargePoint Charging Station,OPERATIONAL,"615 12th St W, Bradenton, FL 34205, USA","point_of_interest, establishment",1,1,Thanks.,5.0
676,41.769417,-72.681825,41.768886,-72.681543,3741,AmpUp Charging Station,OPERATIONAL,"1 Union Pl, Hartford, CT 06103, Hartford, CT 06103, USA","point_of_interest, establishment",1,1,Inside the parking lot of the bus station. ($2 every 30 mins) Need to download the app to work but it works well.,3.0
683,36.063557,-79.503697,36.0633909,-79.5039428,97,Nissan Charging Station,OPERATIONAL,"1329 Huffman Mill Rd, Burlington, NC 27215, USA","point_of_interest, establishment",3,3,This is a oasis miracle for someone who has run out of charge and gas simultaneously . I don’t know what I would’ve done had this station not been open.,5.0
690,47.90272981640562,-122.2469883724914,47.9028528,-122.2467758,10051,ChargePoint Charging Station,OPERATIONAL,"10500 Evergreen Way, Everett, WA 98204, USA","point_of_interest, establishment",5,5,Awesome DC Fast charging experienceEV Charging for Leaf onlyNissan dealer,3.3333333333333335
765,43.187837,-71.497717,43.1878378,-71.4977177,12478,Nissan Charging Station,OPERATIONAL,"175 Manchester St, Concord, NH 03301, USA","point_of_interest, establishment",1,1,Told they had charger when I called and they don't.,1.0
772,43.257348,-70.900583,43.257332,-70.9005012,4338,Electric Vehicle Charging Station,OPERATIONAL,"285 NH-108, Somersworth, NH 03878, USA","point_of_interest, establishment",1,1,Inaccessible,3.0
803,42.16246,-76.867435,42.1626105,-76.8678898,7410,Electric Vehicle Charging Station,OPERATIONAL,"224 Colonial Dr, Horseheads, NY 14845, USA","point_of_interest, establishment",1,1,New ABB CCS/ChAdeMO charger is great. Much appreciated!,5.0
837,36.112917,-94.144548,36.1126571,-94.1444325,16275,Electric Vehicle Charging Station,OPERATIONAL,"3372 N College Ave, Fayetteville, AR 72703, USA","point_of_interest, establishment",1,1,6kwh chargers (2),5.0
865,41.360892,-72.870997,41.3605746,-72.8710426,7976,Electric Vehicle Charging Station,OPERATIONAL,"900 Universal Dr N, North Haven, CT 06473, USA","point_of_interest, establishment",1,1,Good,5.0
868,41.309276,-72.383105,41.3094242,-72.3829766,11911,Electric Vehicle Charging Station,OPERATIONAL,"295 Middlesex Turnpike, Old Saybrook, CT 06475, USA","point_of_interest, establishment",2,2,"Stopped here to charge my Kia Nero on my way to visit family on Xmas and the DC Fast charger worked great and no cost!! Thank you Grossman Nissan!! Merry Xmas!Wouldn't let me charge my Nissan Leaf at a Nissan dealership.  Should have gotten a Tesla.    Got a message that said, ""You are not authorized to start charging.   Please contact you access provider.""",3.0
895,35.052556,-78.880206,35.0526563,-78.8802694,2281,ChargePoint Charging Station,OPERATIONAL,"208 Franklin St, Fayetteville, NC 28301, USA","point_of_interest, establishment",2,2,"Last time I was down town, all the chargepoint chargers were down, but they seem to be working well now. Charger is free, and parking is free for the first hour. Make sure to access the ""public parking"" driveway along the side of the structure, not the main structure access, to get to the chargers.Charging is free, parking free on weekends, 1st hour free on weekdays",5.0
902,37.997336,-84.441827,37.996594,-84.4425976,3085,Electric Vehicle Charging Station,OPERATIONAL,"3360 Richmond Rd, Lexington, KY 40509, USA","point_of_interest, establishment",2,2,Works great lots of things close by todo,5.0
911,41.264912,-96.187831,41.2646904,-96.1874746,15602,Nissan Charging Station,OPERATIONAL,"17410 Burt St, Omaha, NE 68118, USA","point_of_interest, establishment",1,1,Not a Tesla charging station. Meant for Nissan only.,1.0
920,40.48774,-74.86328,40.4877206,-74.8623164,15586,ChargePoint Charging Station,OPERATIONAL,"206-228, NJ-31, Flemington, NJ 08822, USA","point_of_interest, establishment",1,1,Unable to locate. Perhaps indoors or nonexistent.,1.0
936,40.630184,-74.433373,40.630328,-74.4332766,12355,Electric Vehicle Charging Station,OPERATIONAL,"545 US-22, North Plainfield, NJ 07060, USA","point_of_interest, establishment",3,3,It works as if 10-29-19. Thank you north northfield nissan! 40kW charging speed,5.0
956,41.010633,-80.662082,41.0109847,-80.6618073,10635,Electric Vehicle Charging Station,OPERATIONAL,"7809 Market St, Boardman, OH 44512, USA","point_of_interest, establishment",1,1,Horrible location - blocked by vehicles parked on car lot. Very slow charger.,1.0
964,39.295523,-84.311517,39.295743,-84.311407,3976,Electric Vehicle Charging Station,OPERATIONAL,"9819 Kings Auto Mall Rd, Cincinnati, OH 45249, USA","point_of_interest, establishment",1,1,"It was at Porsche dealership, which relocated, and the EV charging station is no longer available.",1.0
985,41.134139,-81.793566,41.1340501,-81.7936212,6423,Nissan Charging Station,OPERATIONAL,"5180 Montville Dr, Medina, OH 44256, USA","point_of_interest, establishment",1,1,there is a slow charger in the front of the building that works and is free. There’s a fast charger in the back of the building behind the tire garage that works and is free also. The workers there are very nice.,5.0
994,41.675335,-83.684803,41.6753807,-83.6847929,9866,Electric Vehicle Charging Station,OPERATIONAL,"5957 Central Ave, Toledo, OH 43615, USA","point_of_interest, establishment",1,1,As of November 2022 this charging station is inoperable. It is a Nissan dealership and they say they are being replaced in Dec - Jan 2023,2.0
1038,30.425992,-89.091508,30.425895,-89.091298,3691,Electric Vehicle Charging Station,OPERATIONAL,"9480 US 49, Gulfport, MS 39503, USA","point_of_interest, establishment",1,1,Pretty decent to not be there,5.0
1039,31.3178137,-89.3946827,31.3180797,-89.3943142,5493,Nissan Charging Station,OPERATIONAL,"6248 US-98, Hattiesburg, MS 39402, USA","point_of_interest, establishment",1,1,Great conversation with my man Paul while I waited for my EV to charge. Be sure to go see him if you need a Nissan EV! Very generous of the dealership to make the charger available to everyone.,5.0
1059,32.500127,-92.07881,32.5002099,-92.0789877,11768,Electric Vehicle Charging Station,OPERATIONAL,"1100 Auto Mall Dr, Monroe, LA 71203, USA","point_of_interest, establishment",1,1,Quick stop,4.0
1069,42.17889,-72.575914,42.1790538,-72.5758495,3638,Nissan Charging Station,OPERATIONAL,"765 Memorial Dr, Chicopee, MA 01020, USA","point_of_interest, establishment",2,2,Charger is kinda hidden in the back of the dealership but fast charger! 2022 kia Niro EV charged at 47kW on comboIt doesn’t work,3.0
1092,42.253475,-70.991361,42.2533719,-70.9918053,8190,Electric Vehicle Charging Station,OPERATIONAL,"600 Southern Artery, Quincy, MA 02169, USA","point_of_interest, establishment",1,1,"If you have an EV that needs CCS, this one is a pretty nice place to get to. It was just a bit awkward to get to due to the roundabout if you’re not paying attention. Electrify America does a great job with their charging, but their charging locations could use some work with their locations.",4.0
1102,21.2838944,-157.8389933,21.2848503,-157.8394037,4697,Tesla Destination Charger,OPERATIONAL,"1775 Ala Moana Blvd, Honolulu, HI 96815, USA","point_of_interest, establishment",5,5,"This should not even be counted. It is only for guests, and they tried to charge me 30$ to use it for a few minutes.3 Tesla destination chargers located inside the guest garage parking of The Modern Honolulu hotel.It’s great that there are destination chargers downtown but you have to be a guest and the security guard isn’t a fan of non-guest “using his Tesla chargers” as I found out :-)You can only be a hotel guest to use this. Or else you need to have an adapter and go charge at the mall.Where",2.2
1127,21.874944,-159.456719,21.875862,-159.4572257,14481,Electric Vehicle Charging Station,OPERATIONAL,"2253 Poipu Rd, Koloa, HI 96756, USA","point_of_interest, establishment",1,1,This is ONLY for Kiahuna Plantation guests. Should be marked as such.,1.0
1137,21.42579,-157.99713,21.4267356,-157.9972727,14486,ChargePoint Charging Station,OPERATIONAL,"94-1299 Ka Uka Blvd, Waipahu, HI 96797, USA","point_of_interest, establishment",2,2,"Nobody knew where it was located. Found it on the left end of the building that has Loco Moco and Big City Diner.Only one charger-worked for the Tesla. Google Maps has it in the wrong location, it’s next to the Loco Moco",5.0
1145,35.97051750603883,-78.95684758650816,35.9707114,-78.9568617,2660,Nissan Charging Station,OPERATIONAL,"3930 Durham-Chapel Hill Blvd, Durham, NC 27707, USA","point_of_interest, establishment",4,4,"Not the fastest DC fast chargers, but they're free. Plus, there's a nice picnic table that's shaded until midday.Worked great, thanks a bunch Nissan!CHadeMo",4.333333333333333
1178,38.931011,-104.811075,38.930975,-104.8112574,11202,Nissan Charging Station,OPERATIONAL,"6840 Vincent Dr, Colorado Springs, CO 80918, USA","point_of_interest, establishment",1,1,"Worked great,  charged at 24kw/h and it was free! Spent 20 min,  got 10%!",5.0
1191,41.699374,-72.894672,41.6996709,-72.8952501,7984,Nissan Charging Station,OPERATIONAL,"1451 Farmington Ave, Bristol, CT 06010, USA","point_of_interest, establishment",1,1,I went their needing a charge badly and they basically only allow customers of the dealership!!!! Beware,1.0
1245,30.188966,-85.656853,30.1888947,-85.6568416,545,Electric Vehicle Charging Station,OPERATIONAL,"120 E 23rd St, Panama City, FL 32405, USA","point_of_interest, establishment",2,2,Could not charge. Blocked by the very dealership that hosts the charger.Good,1.0
1265,27.090886,-82.433092,27.0908431,-82.43338,7529,Electric Vehicle Charging Station,OPERATIONAL,"700 US Hwy 41, Venice, FL 34285, USA","point_of_interest, establishment",2,2,"This is a neat clean place. I'm not the one with the Tesla,my friend is. But I was very impressed with the ease of use. How clean and pleasant this experience was. Keep up the good work... five stars guys, great jobCut off after hours.",3.0
1268,31.57122,-84.125568,31.5712517,-84.1255356,4760,Electric Vehicle Charging Station,OPERATIONAL,"1100 E Oglethorpe Blvd, Albany, GA 31705, USA","point_of_interest, establishment",1,1,Horrible.  11 of 11 chargers non-functional. Ugly.,1.0
1277,32.539843,-84.965676,32.5398422,-84.9656769,4553,Nissan Charging Station,OPERATIONAL,"1725 Whittlesey Rd, Columbus, GA 31904, USA","point_of_interest, establishment",1,1,On Nissan dealership parking lot. Fast charger for Nissan Leaf available.  Convenient for being located next to main shopping center and restaurants.,5.0
1283,33.106139,-83.257757,33.106066,-83.2579101,12863,Electric Vehicle Charging Station,OPERATIONAL,"126 Roberson Mill Rd, Milledgeville, GA 31061, USA","point_of_interest, establishment",1,1,"Now that I'm aware that, on the first purchase, ChargePoint charges an additional $5.00 to your credit card, I decided to add $2.25, or so (out of $2.75 credit).  After all, why should they be allowed to keep more of my money than they already are?  But, when I pulled up to the first charging station, it took me several minutes to get to the point on the app to, Start Charging. :-(  Once I got it hooked up, and going, all was going OK. Yay!  But, after a few seconds, I noticed a, Not Charging, message. :-(  So, rather than fight that station again, I moved my car to the next one.  And, finally! Got this station working, and added, $2.29 (about 12 miles) to my EV.  Now, to be honest, these public charging stations are great while traveling. However, depending on the state, regular gas vehicles can be cheaper to fill up.  But, for driving around town, and despite the long time needed to charge on a 110V outlet (12 hours gave me 45 miles. The cost? $0.84! Yes, only eightyfour cents!).  So, for gasoline/diesel vs home electric costs, EVs are a much better deal. Though, still cost prohibitive for many people (starting at around $38,000, and can exceed $250,000).  But, prices are dropping (just like the first Plasma 40"" set was $14,999.99). And, in a few years, EV prices are expected to be under $30K for the lower end models  My EV recommends leaving it plugged in. But, because I live in an open Duplex community, I don't want to risk someone stealing my charger.",2.0
1327,42.59811,-82.877464,42.5981102,-82.8774578,8042,ChargePoint Charging Station,OPERATIONAL,"39 N Main St, Mt Clemens, MI 48043, USA","point_of_interest, establishment",1,1,"The price is right. It works reliably, but is often blocked by gas cars.",3.0
