42.278522, -83.734395, Ann Arbor District Library, Ann Arbor, MI
42.3128, -83.7476, Lawton Elementary School, Ann Arbor, MI

42.2930, -83.7172, Buhr Park Pool, Ann Arbor, MI

42.2283, -83.7777, Ford Lake, Ann Arbor, MI

42.2644, -83.7663, Briarwood Mall, Ann Arbor, MI

42.2319, -83.7219, Veterans Memorial Park Pool, Ann Arbor, MI

42.2682, -83.7318, Vets Park Skatepark, Ann Arbor, MI

42.2712, -83.7411, The Maryland Club of Ann Arbor, Ann Arbor, MI

42.2949, -83.7230, Ann Arbor Ice Cube, Ann Arbor, MI

42.3102, -83.7162, Donuts Factory, Ann Arbor, MI

42.2948, -83.7078, Sierra Trading Post, Ann Arbor, MI

42.3085, -83.6767, Overture Audio, Ann Arbor, MI

42.2924, -83.6947, Kirtland Hills Nature Area, Ann Arbor, MI

42.2868, -83.7418, Eberbach Mansion, Ann Arbor, MI

42.3068, -83.7069, Tappan Middle School Tennis Courts, Ann Arbor, MI
35, 42.3085, -83.6940, Traverwood, Ann Arbor, MI

42.3205, -83.7153, Savoir Faire, Ann Arbor, MI

42.3104, -83.7570, Ann Arbor Comedy Showcase, Ann Arbor, MI

42.3092, -83.7017, Flycatcher Spring, Ann Arbor, MI

42.2281, -83.7629, Boulder Ridge, Ann Arbor, MI

42.3071, -83.6904, Spruce Knob Park, Ann Arbor, MI

42.3162, -83.7260, Ann Arbor Dog Park, Ann Arbor, MI

42.2940, -83.7279, Buttonbush Trail, Ann Arbor, MI

42.3003, -83.7155, Sagebrush Park, Ann Arbor, MI

42.2751, -83.7563, Woodford Park, Ann Arbor, MI

42.2877, -83.7232, Forest Stickleback, Ann Arbor, MI

42.2808, -83.7258, Erie Park, Ann Arbor, MI

42.2602, -83.6912, Leigh Greden Dog Park, Ann Arbor, MI

42.3090, -83.6877, Black Pond Woods, Ann Arbor, MI

42.2765, -83.7270, Olson Park Disc Golf Course, Ann Arbor, MI

42.3336, -83.6891, Stapp Nature Area, Ann Arbor, MI

42.310378, -83.214397, Matthaei Botanical Gardens, Ann Arbor, MI

42.279498, -83.782889, Leslie Science & Nature Center, Ann Arbor, MI

42.269989, -83.730289, Ann Arbor-Saline Rd, Ann Arbor, MI

42.317198, -83.228229, Gerald E. Eddy Discovery Center, Chelsea, MI

42.316090, -83.216872, Michigan Medicine, Ypsilanti, MI

42.337478, -83.048167, Detroit Water and Sewerage Dept, Detroit, MI

42.376938, -83.079829, Motown Historical Museum, Detroit, MI

42.339295, -83.049266, Woodward Avenue, Detroit, MI

42.312537, -83.215984, Willow Run Airport, Ypsilanti, MI

42.356398, -83.066374, Detroit Children's Museum, Detroit, MI

42.322298, -83.176382, MotorCity Casino Hotel, Detroit, MI

42.239389, -83.613289, Willow Metropark, New Boston, MI

42.376938, -83.079829, New Center Stamping, Detroit, MI

42.302610, -83.237278, Gross Ile Municipal Airport, Gross Ile, MI

42.302864, -83.215423, Detroit Metro Airport – DTW, Romulus, MI

42.481398, -83.161883, Southeast Michigan Council of Govt, Detroit, MI

42.249923, -83.178586, Lower Huron Metropark, Belleville, MI

42.620398, -83.287047, General Motors Orion Assembly, Lake Orion, MI

42.317210, -83.166169, Detroit Golf Club, Detroit, MI

42.409301, -82.911830, Detroit City Airport, Detroit, MI

42.491769, -83.025134, Fisher Building, Detroit, MI

39.443167, -77.963419, John Hopkins, Detroit, MI

42.331680, -83.047920, Grand Circus Park, Detroit, MI

42.227838, -83.149942, Willow Run Airport, Ypsilanti, MI

42.333038, -83.046775, Greektown Casino-Hotel, Detroit, MI

42.331552, -83.036411, Detroit-Windsor Tunnel, Detroit, MI

42.414650, -82.995288, Belle Isle Beach, Detroit, MI

42.235988, -83.225421, PACE Inc, Ypsilanti, MI

42.320232, -83.107561, Roush Industries Inc, Livonia, MI

42.331698, -83.070267, Renaissance Center, Detroit, MI

42.283752, -83.220393, Fuller Park, Ann Arbor, MI

42.307242, -83.224451, Domino's Farms, Ann Arbor, MI

42.337765, -83.051368, Ford Field, Detroit, MI

42.476578, -83.280942, Ferndale, MI

42.609036, -83.929156, Waterford, MI

42.331375, -83.045277, Detroit, MI

42.633619, -83.152015, Auburn Hills, MI

42.431648, -83.550570, Pontiac, MI

42.331504, -83.035411, The Westin Book Cadillac Detroit, Detroit, MI

42.473348, -83.221171, Northville, MI

42.331407, -83.034894, Detroit Riverwalk, Detroit, MI

42.609051, -82.994878, Saint Clair Shores, MI

42.317299, -83.032375, Corktown, Detroit, MI

42.729669, -83.223969, Orion Charter Township, MI

42.671042, -82.820340, Clinton Township, MI

42.331393, -83.045898, Detroit Princess, Detroit, MI

42.331517, -83.033029, The Siren Hotel, Detroit, MI

42.489938, -83.144594, Township of Bloomfield, MI

42.331397, -83.034338, Detroit Club, Detroit, MI

42.331420, -83.045562, Detroit Public Library, Detroit, MI
