query,name,lat,lng,rating,user_ratings_total,place_id,docid,rel
"42.2765, -83.7270",ChargePoint Charging Station,42.2405142,-83.7660396,2.7,9,ChIJHf5ykx6wPIgRFV0iZ2LL9rQ,102221,3
"42.2765, -83.7270",ChargePoint Charging Station,42.379033,-83.75906599999999,4.5,4,ChIJ_32B91StPIgRgIFlgaR-x_I,191538,3
"42.2765, -83.7270",ChargePoint Charging Station,42.283862,-83.809496,0.0,0,ChIJleGocAuxPIgRMwQ_UkcuOm4,44287,3
"42.2765, -83.7270",ChargePoint Charging Station,42.32176,-83.70742299999999,4.0,1,ChIJA0iYsUesPIgRdgwonzG2-oI,235554,3
"42.2765, -83.7270",ZEF Energy Charging Station,42.2263103,-83.62309309999999,0.0,0,ChIJ4cytJnCoPIgR0gJrxhuDzq4,261477,2
"42.2765, -83.7270",EV Connect Charging Station,42.3280837,-83.8706442,5.0,1,ChIJ6e-rhT-0PIgRb6GWgTkZMu0,216274,2
"42.2765, -83.7270",ChargePoint Charging Station,42.2687982,-83.7478285,5.0,1,ChIJJaL7aTGuPIgRLbia4HcdYlQ,198009,2
"42.2765, -83.7270",Blink Charging Station,42.273908,-83.7912147,0.0,0,ChIJg2NP87CxPIgRdypKKCvpsJQ,312394,2
"42.2765, -83.7270",Shell Recharge Charging Station,42.2612403,-83.7376507,0.0,0,ChIJqQt7wrSvPIgRmtuX4n1vkAQ,188119,2
"42.2765, -83.7270",ChargePoint Charging Station,42.2782194,-83.7479889,0.0,0,ChIJoUdRcjyuPIgRXbcFsHHtr4E,223009,1
"42.2765, -83.7270",ChargePoint Charging Station,42.2805837,-83.74776299999999,0.0,0,ChIJqaBDyD2uPIgRyHZGcOkTPFs,223038,1
"42.2765, -83.7270",ChargePoint Charging Station,42.197633,-83.700681,0.0,0,ChIJgR3RIr-lPIgR8GaOcGbQ3t8,164113,1
"42.269989, -83.730289",Electrify America Charging Station,42.229493,-83.6492643,3.7,38,ChIJxRal65CoPIgR4ke6WJkQ6N8,145371,4
"42.269989, -83.730289",EVgo Charging Station,42.244709,-83.738976,4.2,9,ChIJ94zis7-vPIgRt5PBPVivWww,228549,4
"42.269989, -83.730289",Tesla Supercharger,42.241125,-83.766522,4.5,93,ChIJfaDI2iKxPIgRj5ZJpZ6zWIM,102221,4
"42.269989, -83.730289",Tesla Supercharger,42.23278930000001,-83.6785266,4.3,14,ChIJwWYuDSipPIgRLN6Mo7lsc78,237632,4
"42.269989, -83.730289",Shell Recharge Charging Station,42.2863464,-83.842995,2.0,1,ChIJYwJiwTWxPIgRF1pZfzDcb68,164341,4
"42.269989, -83.730289",ChargePoint Charging Station,42.2507427,-83.66150710000001,5.0,1,ChIJ49PRf9uoPIgR18ZqdfeOZyo,202411,3
"42.269989, -83.730289",ChargePoint Charging Station,42.2405142,-83.7660396,2.7,9,ChIJHf5ykx6wPIgRFV0iZ2LL9rQ,102221,3
"42.269989, -83.730289",ChargePoint Charging Station,42.379033,-83.75906599999999,4.5,4,ChIJ_32B91StPIgRgIFlgaR-x_I,191538,3
"42.269989, -83.730289",ChargePoint Charging Station,42.283862,-83.809496,0.0,0,ChIJleGocAuxPIgRMwQ_UkcuOm4,44287,3
"42.269989, -83.730289",ChargePoint Charging Station,42.32176,-83.70742299999999,4.0,1,ChIJA0iYsUesPIgRdgwonzG2-oI,235554,3
"42.269989, -83.730289",ZEF Energy Charging Station,42.2263103,-83.62309309999999,0.0,0,ChIJ4cytJnCoPIgR0gJrxhuDzq4,261477,2
"42.269989, -83.730289",EV Connect Charging Station,42.3280837,-83.8706442,5.0,1,ChIJ6e-rhT-0PIgRb6GWgTkZMu0,216274,2
"42.269989, -83.730289",ChargePoint Charging Station,42.2687982,-83.7478285,5.0,1,ChIJJaL7aTGuPIgRLbia4HcdYlQ,198009,2
"42.269989, -83.730289",Blink Charging Station,42.273908,-83.7912147,0.0,0,ChIJg2NP87CxPIgRdypKKCvpsJQ,312394,2
"42.269989, -83.730289",Shell Recharge Charging Station,42.2612403,-83.7376507,0.0,0,ChIJqQt7wrSvPIgRmtuX4n1vkAQ,188119,2
"42.269989, -83.730289",ChargePoint Charging Station,42.2782194,-83.7479889,0.0,0,ChIJoUdRcjyuPIgRXbcFsHHtr4E,223009,1
"42.269989, -83.730289",ChargePoint Charging Station,42.2805837,-83.74776299999999,0.0,0,ChIJqaBDyD2uPIgRyHZGcOkTPFs,223038,1
"42.269989, -83.730289",ChargePoint Charging Station,42.197633,-83.700681,0.0,0,ChIJgR3RIr-lPIgR8GaOcGbQ3t8,164113,1
"42.414650, -82.995288",EVgo Charging Station,42.51069469999999,-83.04811509999999,3.6,5,ChIJc64skZHaJIgRKD9ZWonEHD0,228109,5
"42.414650, -82.995288",Tesla Supercharger,42.4453518,-83.117921,4.5,18,ChIJry_0DZDPJIgR3TbOJatR3hg,225836,4
"42.414650, -82.995288",EV Connect Charging Station,42.4648659,-82.88512109999999,0.0,0,ChIJJ0kMh0AoJYgR776qGZ0jomc,313811,4
"42.414650, -82.995288",Electric Vehicle Charging Station,42.3471254,-82.96416359999999,5.0,1,ChIJM2XAJWnVJIgRHt5xMKk0CLk,261230,4
"42.414650, -82.995288",EVgo Charging Station,42.44542999999999,-83.11789,1.5,2,ChIJnUoejV7OJIgRh4KRbsMAP1o,225836,4
"42.414650, -82.995288",Red E Charging Station,42.36316,-83.09436,5.0,2,ChIJL26J5GnNJIgRJjf7Tx-45Mc,233096,3
"42.414650, -82.995288",ChargePoint Charging Station,42.334755,-83.056015,3.5,4,ChIJl0TgQTYtO4gREqT9NLzh_HI,145077,3
"42.414650, -82.995288",ChargePoint Charging Station,42.5090319,-83.0487965,4.3,8,ChIJK3Lc14_aJIgRdYbEfSOG6Rw,86982,3
"42.414650, -82.995288",ChargePoint Charging Station,42.3456649,-83.039748,1.0,4,ChIJX3JCkdbSJIgRktCXv2QEIJk,193714,3
"42.414650, -82.995288",ChargePoint Charging Station,42.507497,-82.976273,5.0,1,ChIJDbdn4-vZJIgR0mF7jSnCMuo,211952,2
"42.414650, -82.995288",ChargePoint Charging Station,42.329358,-83.0465045,0.0,0,ChIJ98TMNCUtO4gRSE1u_8R8mnM,120988,2
"42.414650, -82.995288",ChargePoint Charging Station,42.3598254,-83.06308949999999,2.0,2,ChIJKzeEkb3SJIgRxLPMj6ODFMU,173084,2
"42.414650, -82.995288",ChargePoint Charging Station,42.3342835,-83.04618820000002,0.0,0,ChIJyRGGFy4tO4gRSKECR2Dmv_s,78476,2
"42.414650, -82.995288",ChargePoint Charging Station,42.3648931,-83.084758,0.0,0,ChIJ7YOp1mbNJIgR9zAq-epF4ew,213589,2
"42.414650, -82.995288",ChargePoint Charging Station,42.3311838,-83.0486875,0.0,0,ChIJaREKdDAtO4gRkDad-GDh8O0,88103,1
"42.414650, -82.995288",Electric Vehicle Charging Station,42.3347871,-83.06064250000001,4.4,10,ChIJlwi5TkgtO4gRweh9UNcPYtU,40603,1
"42.414650, -82.995288",ChargePoint Charging Station,42.337812,-83.06840419999999,3.5,2,ChIJA07HdlItO4gR8oxzlVyDNV4,235954,1
"42.414650, -82.995288",ChargePoint Charging Station,42.3692773,-83.07385939999999,0.0,0,ChIJt5z0hpzSJIgRexeu5bfly7A,78488,1
"42.2801, -83.7475",Electrify America Charging Station,42.229493,-83.6492643,3.7,38,ChIJxRal65CoPIgR4ke6WJkQ6N8,145371,4
"42.2801, -83.7475",EVgo Charging Station,42.244709,-83.738976,4.2,9,ChIJ94zis7-vPIgRt5PBPVivWww,228549,4
"42.2801, -83.7475",Tesla Supercharger,42.241125,-83.766522,4.5,93,ChIJfaDI2iKxPIgRj5ZJpZ6zWIM,102221,4
"42.2801, -83.7475",Tesla Supercharger,42.23278930000001,-83.6785266,4.3,14,ChIJwWYuDSipPIgRLN6Mo7lsc78,237632,4
"42.2801, -83.7475",Shell Recharge Charging Station,42.2863464,-83.842995,2.0,1,ChIJYwJiwTWxPIgRF1pZfzDcb68,164341,4
"42.2801, -83.7475",ChargePoint Charging Station,42.2507427,-83.66150710000001,5.0,1,ChIJ49PRf9uoPIgR18ZqdfeOZyo,202411,3
"42.2801, -83.7475",ChargePoint Charging Station,42.2405142,-83.7660396,2.7,9,ChIJHf5ykx6wPIgRFV0iZ2LL9rQ,102221,3
"42.2801, -83.7475",ChargePoint Charging Station,42.379033,-83.75906599999999,4.5,4,ChIJ_32B91StPIgRgIFlgaR-x_I,191538,3
"42.2801, -83.7475",ChargePoint Charging Station,42.283862,-83.809496,0.0,0,ChIJleGocAuxPIgRMwQ_UkcuOm4,44287,3
"42.2801, -83.7475",ChargePoint Charging Station,42.32176,-83.70742299999999,4.0,1,ChIJA0iYsUesPIgRdgwonzG2-oI,235554,3
"42.2801, -83.7475",ZEF Energy Charging Station,42.2263103,-83.62309309999999,0.0,0,ChIJ4cytJnCoPIgR0gJrxhuDzq4,261477,2
"42.2801, -83.7475",EV Connect Charging Station,42.3280837,-83.8706442,5.0,1,ChIJ6e-rhT-0PIgRb6GWgTkZMu0,216274,2
"42.2801, -83.7475",ChargePoint Charging Station,42.2687982,-83.7478285,5.0,1,ChIJJaL7aTGuPIgRLbia4HcdYlQ,198009,2
"42.2801, -83.7475",Blink Charging Station,42.273908,-83.7912147,0.0,0,ChIJg2NP87CxPIgRdypKKCvpsJQ,312394,2
"42.2801, -83.7475",Shell Recharge Charging Station,42.2612403,-83.7376507,0.0,0,ChIJqQt7wrSvPIgRmtuX4n1vkAQ,188119,2
"42.2801, -83.7475",ChargePoint Charging Station,42.2782194,-83.7479889,0.0,0,ChIJoUdRcjyuPIgRXbcFsHHtr4E,223009,1
"42.2801, -83.7475",ChargePoint Charging Station,42.2805837,-83.74776299999999,0.0,0,ChIJqaBDyD2uPIgRyHZGcOkTPFs,223038,1
"42.2801, -83.7475",ChargePoint Charging Station,42.197633,-83.700681,0.0,0,ChIJgR3RIr-lPIgR8GaOcGbQ3t8,164113,1
"42.2949, -83.7230",Electrify America Charging Station,42.229493,-83.6492643,3.7,38,ChIJxRal65CoPIgR4ke6WJkQ6N8,145371,4
"42.2949, -83.7230",EVgo Charging Station,42.244709,-83.738976,4.2,9,ChIJ94zis7-vPIgRt5PBPVivWww,228549,4
"42.2949, -83.7230",Tesla Supercharger,42.241125,-83.766522,4.5,93,ChIJfaDI2iKxPIgRj5ZJpZ6zWIM,102221,4
"42.2949, -83.7230",Tesla Supercharger,42.23278930000001,-83.6785266,4.3,14,ChIJwWYuDSipPIgRLN6Mo7lsc78,237632,4
"42.2949, -83.7230",Shell Recharge Charging Station,42.2863464,-83.842995,2.0,1,ChIJYwJiwTWxPIgRF1pZfzDcb68,164341,4
"42.2949, -83.7230",ChargePoint Charging Station,42.2507427,-83.66150710000001,5.0,1,ChIJ49PRf9uoPIgR18ZqdfeOZyo,202411,3
"42.2949, -83.7230",ChargePoint Charging Station,42.2405142,-83.7660396,2.7,9,ChIJHf5ykx6wPIgRFV0iZ2LL9rQ,102221,3
"42.2949, -83.7230",ChargePoint Charging Station,42.379033,-83.75906599999999,4.5,4,ChIJ_32B91StPIgRgIFlgaR-x_I,191538,3
"42.2949, -83.7230",ChargePoint Charging Station,42.283862,-83.809496,0.0,0,ChIJleGocAuxPIgRMwQ_UkcuOm4,44287,3
"42.2949, -83.7230",ChargePoint Charging Station,42.32176,-83.70742299999999,4.0,1,ChIJA0iYsUesPIgRdgwonzG2-oI,235554,3
"42.2949, -83.7230",ZEF Energy Charging Station,42.2263103,-83.62309309999999,0.0,0,ChIJ4cytJnCoPIgR0gJrxhuDzq4,261477,2
"42.2949, -83.7230",EV Connect Charging Station,42.3280837,-83.8706442,5.0,1,ChIJ6e-rhT-0PIgRb6GWgTkZMu0,216274,2
"42.2949, -83.7230",ChargePoint Charging Station,42.2687982,-83.7478285,5.0,1,ChIJJaL7aTGuPIgRLbia4HcdYlQ,198009,2
"42.2949, -83.7230",Blink Charging Station,42.273908,-83.7912147,0.0,0,ChIJg2NP87CxPIgRdypKKCvpsJQ,312394,2
"42.2949, -83.7230",Shell Recharge Charging Station,42.2612403,-83.7376507,0.0,0,ChIJqQt7wrSvPIgRmtuX4n1vkAQ,188119,2
"42.2949, -83.7230",ChargePoint Charging Station,42.2782194,-83.7479889,0.0,0,ChIJoUdRcjyuPIgRXbcFsHHtr4E,223009,1
"42.2949, -83.7230",ChargePoint Charging Station,42.2805837,-83.74776299999999,0.0,0,ChIJqaBDyD2uPIgRyHZGcOkTPFs,223038,1
"42.2949, -83.7230",ChargePoint Charging Station,42.197633,-83.700681,0.0,0,ChIJgR3RIr-lPIgR8GaOcGbQ3t8,164113,1
"42.277310, -83.738286",Electrify America Charging Station,42.229493,-83.6492643,3.7,38,ChIJxRal65CoPIgR4ke6WJkQ6N8,145371,4
"42.277310, -83.738286",EVgo Charging Station,42.244709,-83.738976,4.2,9,ChIJ94zis7-vPIgRt5PBPVivWww,228549,4
"42.277310, -83.738286",Tesla Supercharger,42.241125,-83.766522,4.5,93,ChIJfaDI2iKxPIgRj5ZJpZ6zWIM,102221,4
"42.277310, -83.738286",Tesla Supercharger,42.23278930000001,-83.6785266,4.3,14,ChIJwWYuDSipPIgRLN6Mo7lsc78,237632,4
"42.277310, -83.738286",Shell Recharge Charging Station,42.2863464,-83.842995,2.0,1,ChIJYwJiwTWxPIgRF1pZfzDcb68,164341,4
"42.277310, -83.738286",ChargePoint Charging Station,42.2507427,-83.66150710000001,5.0,1,ChIJ49PRf9uoPIgR18ZqdfeOZyo,202411,3
"42.277310, -83.738286",ChargePoint Charging Station,42.2405142,-83.7660396,2.7,9,ChIJHf5ykx6wPIgRFV0iZ2LL9rQ,102221,3
"42.277310, -83.738286",ChargePoint Charging Station,42.379033,-83.75906599999999,4.5,4,ChIJ_32B91StPIgRgIFlgaR-x_I,191538,3
"42.277310, -83.738286",ChargePoint Charging Station,42.283862,-83.809496,0.0,0,ChIJleGocAuxPIgRMwQ_UkcuOm4,44287,3
"42.277310, -83.738286",ChargePoint Charging Station,42.32176,-83.70742299999999,4.0,1,ChIJA0iYsUesPIgRdgwonzG2-oI,235554,3
"42.277310, -83.738286",ZEF Energy Charging Station,42.2263103,-83.62309309999999,0.0,0,ChIJ4cytJnCoPIgR0gJrxhuDzq4,261477,2
"42.277310, -83.738286",EV Connect Charging Station,42.3280837,-83.8706442,5.0,1,ChIJ6e-rhT-0PIgRb6GWgTkZMu0,216274,2
"42.277310, -83.738286",ChargePoint Charging Station,42.2687982,-83.7478285,5.0,1,ChIJJaL7aTGuPIgRLbia4HcdYlQ,198009,2
"42.277310, -83.738286",Blink Charging Station,42.273908,-83.7912147,0.0,0,ChIJg2NP87CxPIgRdypKKCvpsJQ,312394,2
"42.277310, -83.738286",Shell Recharge Charging Station,42.2612403,-83.7376507,0.0,0,ChIJqQt7wrSvPIgRmtuX4n1vkAQ,188119,2
"42.277310, -83.738286",ChargePoint Charging Station,42.2782194,-83.7479889,0.0,0,ChIJoUdRcjyuPIgRXbcFsHHtr4E,223009,1
"42.277310, -83.738286",ChargePoint Charging Station,42.2805837,-83.74776299999999,0.0,0,ChIJqaBDyD2uPIgRyHZGcOkTPFs,223038,1
"42.277310, -83.738286",ChargePoint Charging Station,42.197633,-83.700681,0.0,0,ChIJgR3RIr-lPIgR8GaOcGbQ3t8,164113,1
"42.399469, -83.148658",EVgo Charging Station,42.51069469999999,-83.04811509999999,3.6,5,ChIJc64skZHaJIgRKD9ZWonEHD0,228109,5
"42.399469, -83.148658",Tesla Supercharger,42.379388,-83.32953499999999,4.3,112,ChIJn6I0TZ-0JIgRW0E1pZh37w4,102229,4
"42.399469, -83.148658",Tesla Supercharger,42.4453518,-83.117921,4.5,18,ChIJry_0DZDPJIgR3TbOJatR3hg,225836,4
"42.399469, -83.148658",EVgo Charging Station,42.44542999999999,-83.11789,1.5,2,ChIJnUoejV7OJIgRh4KRbsMAP1o,225836,4
"42.399469, -83.148658",Blink Charging Station,42.4832839,-83.27279709999999,0.0,0,ChIJMe0SY7i3JIgRpthxM90iwMs,309745,4
"42.399469, -83.148658",Red E Charging Station,42.36316,-83.09436,5.0,2,ChIJL26J5GnNJIgRJjf7Tx-45Mc,233096,3
"42.399469, -83.148658",ChargePoint Charging Station,42.334755,-83.056015,3.5,4,ChIJl0TgQTYtO4gREqT9NLzh_HI,145077,3
"42.399469, -83.148658",Shell Recharge Charging Station,42.2798062,-83.2039506,3.3,4,ChIJV1VVsS00O4gRmG5AqfmCw-A,237795,3
"42.399469, -83.148658",ChargePoint Charging Station,42.5090319,-83.0487965,4.3,8,ChIJK3Lc14_aJIgRdYbEfSOG6Rw,86982,3
"42.399469, -83.148658",ChargePoint Charging Station,42.3456649,-83.039748,1.0,4,ChIJX3JCkdbSJIgRktCXv2QEIJk,193714,3
"42.399469, -83.148658",ChargePoint Charging Station,42.329358,-83.0465045,0.0,0,ChIJ98TMNCUtO4gRSE1u_8R8mnM,120988,2
"42.399469, -83.148658",ChargePoint Charging Station,42.3598254,-83.06308949999999,2.0,2,ChIJKzeEkb3SJIgRxLPMj6ODFMU,173084,2
"42.399469, -83.148658",ChargePoint Charging Station,42.4882165,-83.146078,5.0,1,ChIJ4yWnKkLPJIgRcYWQbdKMO50,99879,2
"42.399469, -83.148658",ChargePoint Charging Station,42.3342835,-83.04618820000002,0.0,0,ChIJyRGGFy4tO4gRSKECR2Dmv_s,78476,2
"42.399469, -83.148658",ChargePoint Charging Station,42.3648931,-83.084758,0.0,0,ChIJ7YOp1mbNJIgR9zAq-epF4ew,213589,2
"42.399469, -83.148658",ChargePoint Charging Station,42.3311838,-83.0486875,0.0,0,ChIJaREKdDAtO4gRkDad-GDh8O0,88103,1
"42.399469, -83.148658",Electric Vehicle Charging Station,42.3347871,-83.06064250000001,4.4,10,ChIJlwi5TkgtO4gRweh9UNcPYtU,40603,1
"42.399469, -83.148658",ChargePoint Charging Station,42.337812,-83.06840419999999,3.5,2,ChIJA07HdlItO4gR8oxzlVyDNV4,235954,1
"42.399469, -83.148658",ChargePoint Charging Station,42.3692773,-83.07385939999999,0.0,0,ChIJt5z0hpzSJIgRexeu5bfly7A,78488,1
"42.2808, -83.7258",Electrify America Charging Station,42.229493,-83.6492643,3.7,38,ChIJxRal65CoPIgR4ke6WJkQ6N8,145371,4
"42.2808, -83.7258",EVgo Charging Station,42.244709,-83.738976,4.2,9,ChIJ94zis7-vPIgRt5PBPVivWww,228549,4
"42.2808, -83.7258",Tesla Supercharger,42.241125,-83.766522,4.5,93,ChIJfaDI2iKxPIgRj5ZJpZ6zWIM,102221,4
"42.2808, -83.7258",Tesla Supercharger,42.23278930000001,-83.6785266,4.3,14,ChIJwWYuDSipPIgRLN6Mo7lsc78,237632,4
"42.2808, -83.7258",Shell Recharge Charging Station,42.2863464,-83.842995,2.0,1,ChIJYwJiwTWxPIgRF1pZfzDcb68,164341,4
"42.2808, -83.7258",ChargePoint Charging Station,42.2507427,-83.66150710000001,5.0,1,ChIJ49PRf9uoPIgR18ZqdfeOZyo,202411,3
"42.2808, -83.7258",ChargePoint Charging Station,42.2405142,-83.7660396,2.7,9,ChIJHf5ykx6wPIgRFV0iZ2LL9rQ,102221,3
"42.2808, -83.7258",ChargePoint Charging Station,42.379033,-83.75906599999999,4.5,4,ChIJ_32B91StPIgRgIFlgaR-x_I,191538,3
"42.2808, -83.7258",ChargePoint Charging Station,42.283862,-83.809496,0.0,0,ChIJleGocAuxPIgRMwQ_UkcuOm4,44287,3
"42.2808, -83.7258",ChargePoint Charging Station,42.32176,-83.70742299999999,4.0,1,ChIJA0iYsUesPIgRdgwonzG2-oI,235554,3
"42.2808, -83.7258",ZEF Energy Charging Station,42.2263103,-83.62309309999999,0.0,0,ChIJ4cytJnCoPIgR0gJrxhuDzq4,261477,2
